Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10287406,Schaerbeek,APARTMENT,APARTMENT,350000.0,BUY_REGULAR,2.0,110.0,None,None,0,1,8,None,None,None,,None,JUST_RENOVATED
10285139,Etterbeek,HOUSE,APARTMENT_BLOCK,1290000.0,BUY_REGULAR,6.0,384.0,0,None,0,1,15,1,60,140,2,0,GOOD
10283197,Anderlecht,APARTMENT,APARTMENT,219000.0,BUY_REGULAR,3.0,94.0,0,None,0,1,6,None,None,None,2,0,
10277003,Ixelles,HOUSE,MANSION,5000000.0,BUY_REGULAR,13.0,976.0,0,None,1,1,None,None,None,368,2,None,
10281355,Jette,APARTMENT,APARTMENT,292000.0,BUY_REGULAR,2.0,86.0,None,None,0,1,6,None,None,None,4,0,GOOD
10299895,Etterbeek,HOUSE,MANSION,1700000.0,BUY_REGULAR,7.0,460.0,1,None,0,1,30,1,30,217,2,0,GOOD
10278742,Woluwe-Saint-Lambert,HOUSE,APARTMENT_BLOCK,990000.0,BUY_REGULAR,4.0,270.0,0,None,0,1,32,None,None,130,2,0,GOOD
10301673,Woluwe-Saint-Pierre,HOUSE,HOUSE,695000.0,BUY_REGULAR,5.0,220.0,0,None,0,1,16,None,None,298,2,0,GOOD
10297651,Jette,APARTMENT,APARTMENT,249000.0,BUY_REGULAR,3.0,90.0,0,None,0,1,2,None,None,None,,None,GOOD
10225821,MOLENBEEK-SAINT-JEAN,APARTMENT,APARTMENT,159000.0,BUY_REGULAR,2.0,85.0,0,None,0,None,None,None,None,None,4,None,GOOD
10289260,Molenbeek-Saint-Jean,APARTMENT,APARTMENT,285000.0,BUY_REGULAR,3.0,142.0,0,None,0,1,10,None,None,None,2,None,AS_NEW
10292885,Uccle,APARTMENT,PENTHOUSE,1490000.0,BUY_REGULAR,3.0,290.0,1,None,0,1,82,None,None,None,4,0,AS_NEW
10287297,Anderlecht,APARTMENT,APARTMENT,90000.0,PUBLIC_SALE,1.0,,None,None,0,None,None,None,None,None,None,None,None
10285125,Auderghem,HOUSE,HOUSE,760000.0,BUY_REGULAR,5.0,275.0,0,None,0,None,None,1,153,257,2,0,GOOD
10283132,Auderghem,APARTMENT,APARTMENT,324000.0,BUY_REGULAR,1.0,66.0,1,None,0,1,10,None,None,None,,0,AS_NEW
10276997,Evere,APARTMENT,APARTMENT,289000.0,BUY_REGULAR,1.0,69.0,0,None,0,1,18,None,None,None,,0,JUST_RENOVATED
10281354,Brussels City,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10299893,Woluwe-Saint-Lambert,APARTMENT,DUPLEX,650000.0,BUY_REGULAR,5.0,200.0,1,None,0,1,5,1,45,None,2,0,TO_RENOVATE
10278740,Etterbeek,HOUSE,APARTMENT_BLOCK,990000.0,BUY_REGULAR,4.0,270.0,0,None,0,1,32,None,None,130,2,0,GOOD
10301645,Jette,APARTMENT,APARTMENT,255000.0,BUY_REGULAR,2.0,66.0,1,None,0,None,None,None,None,None,2,0,AS_NEW
10297441,Saint-Josse-ten-Noode,APARTMENT,APARTMENT,245000.0,BUY_REGULAR,1.0,70.0,0,None,0,1,None,None,None,None,4,0,
10295122,Auderghem,HOUSE,HOUSE,685000.0,BUY_REGULAR,6.0,340.0,0,None,0,1,30,1,150,300,2,0,TO_RENOVATE
10295102,Saint-Josse-ten-Noode,APARTMENT,GROUND_FLOOR,390000.0,PUBLIC_SALE,2.0,,0,None,0,None,None,None,None,None,None,None,None
9944911,Jette,HOUSE,HOUSE,325000.0,BUY_REGULAR,4.0,207.0,0,None,0,1,None,1,50,0,2,0,TO_RENOVATE
10287262,WOLUWÉ-SAINT-LAMBERT,APARTMENT,APARTMENT,495000.0,BUY_REGULAR,3.0,107.0,0,None,0,1,6,None,None,None,,None,AS_NEW
10285104,Woluwe-St-Lambert,APARTMENT,APARTMENT,475000.0,BUY_REGULAR,2.0,117.0,0,None,1,1,11,None,None,,2,None,TO_BE_DONE_UP
10283131,Auderghem,APARTMENT,APARTMENT,521500.0,BUY_REGULAR,2.0,105.0,1,None,0,1,8,None,None,None,,0,AS_NEW
10276976,Anderlecht,HOUSE,HOUSE,439000.0,BUY_REGULAR,5.0,162.0,1,None,0,1,28,1,122,180,2,0,GOOD
10281329,Etterbeek,APARTMENT,APARTMENT,203000.0,BUY_REGULAR,0.0,40.0,None,None,0,None,None,None,None,None,,0,GOOD
10299888,Evere,HOUSE,MIXED_USE_BUILDING,485000.0,BUY_REGULAR,4.0,208.0,0,None,0,1,31,None,None,260,2,None,GOOD
